Output:
Token                 Lexeme
---------             --------
Keyword               for
Separator             (
Keyword               Integer
Identifier            i
Operator              =
Integer               0
Separator             ;
Identifier            i
Operator              <
Integer               5
Separator             ;
Identifier            i
Operator              +
Operator              +
Separator             )
Separator             {
Keyword               put
Identifier            i
Separator             ;
Separator             }
Keyword               if
Separator             (
Identifier            x
Operator              >
Integer               5
Separator             )
Separator             {
Keyword               Boolean
Identifier            flag
Operator              =
Keyword               true
Separator             ;
Keyword               if
Separator             (
Identifier            flag
Operator              ==
Keyword               true
Separator             )
Separator             {
Keyword               put
Identifier            flag
Separator             ;
Separator             }
Separator             }
Keyword               while
Separator             (
Identifier            x
Operator              >=
Integer               0
Separator             )
Separator             {
Keyword               put
Identifier            x
Separator             ;
Identifier            x
Operator              =
Identifier            x
Operator              -
Integer               1
Separator             ;
Separator             }
Identifier            String
Identifier            greeting
Operator              =
Unknown               "Hello"
Separator             ;
Keyword               if
Separator             (
Identifier            greeting
Operator              !=
Unknown               ""
Separator             )
Separator             {
Keyword               put
Identifier            greeting
Separator             ;
Separator             }
Keyword               else
Separator             {
Keyword               Integer
Identifier            errorCode
Operator              =
Operator              -
Integer               1
Separator             ;
Keyword               put
Identifier            errorCode
Separator             ;
Separator             }
Keyword               real
Identifier            pi
Operator              =
Real                  3.14159
Separator             ;
Keyword               if
Separator             (
Integer               2
Operator              +
Integer               3
Operator              *
Separator             (
Identifier            x
Operator              -
Real                  1.5
Separator             )
Operator              <=
Keyword               real
Separator             [
Integer               4
Separator             ]
Separator             )
Separator             {
Keyword               put
Identifier            pi
Separator             ;
Separator             }
Keyword               for
Separator             (
Keyword               Integer
Identifier            j
Operator              =
Integer               1
Separator             ;
Identifier            j
Operator              <=
Integer               10
Separator             ;
Identifier            j
Operator              +
Operator              +
Separator             )
Separator             {
Keyword               real
Identifier            temp
Separator             ;
Separator             }
Identifier            String
Identifier            strTest
Operator              =
Unknown               "Test"
Separator             ;
Keyword               if
Separator             (
Identifier            strTest
Operator              ==
Unknown               "Test"
Separator             )
Separator             {
Keyword               put
Identifier            strTest
Separator             ;
Separator             }
Keyword               Integer
Identifier            k
Operator              =
Integer               0
Separator             ;
Keyword               while
Separator             (
Identifier            k
Operator              <
Integer               3
Separator             )
Separator             {
Identifier            k
Operator              +
Operator              +
Separator             ;
Keyword               put
Identifier            k
Separator             ;
Separator             }
Keyword               Integer
Identifier            alpha9999alpha
Operator              =
Integer               10
Separator             ;
Keyword               if
Separator             (
Identifier            alpha
Operator              >
Integer               5
Separator             )
Separator             {
Keyword               put
Identifier            alpha
Separator             ;
Separator             }
Keyword               real
Unknown               123abc
Separator             ;
Keyword               Integer
Real                  0.5
Separator             ;
Keyword               put
Keyword               true
Separator             ;
